id	data_source	covid_related
05276	Data cleaned by Emil and Christine	0
01483	Data cleaned by Emil and Christine	0
191308	Data cleaned by Emil and Christine	0
01529	Data cleaned by Emil and Christine	0
01622	Data cleaned by Emil and Christine	0
21074	Data cleaned by Emil and Christine	0
20203	Data cleaned by Emil and Christine	0
01647	Data cleaned by Emil and Christine	0
20722	Data cleaned by Emil and Christine	0
01512	Data cleaned by Emil and Christine	0
20402	Data cleaned by Emil and Christine	0
01262	Data cleaned by Emil and Christine	0
05157	Data cleaned by Emil and Christine	0
20614	Data cleaned by Emil and Christine	0
191109	Data cleaned by Emil and Christine	0
21155	Data cleaned by Emil and Christine	0
06090	Data cleaned by Emil and Christine	0
191013	Data cleaned by Emil and Christine	0
01531	Data cleaned by Emil and Christine	0
01565	Data cleaned by Emil and Christine	0
20040	Data cleaned by Emil and Christine	0
01272	Data cleaned by Emil and Christine	0
05115	Data cleaned by Emil and Christine	0
01645	Data cleaned by Emil and Christine	0
06021	Data cleaned by Emil and Christine	0
01635	Data cleaned by Emil and Christine	0
191144	Data cleaned by Emil and Christine	0
01601	Data cleaned by Emil and Christine	0
20056	Data cleaned by Emil and Christine	0
20340	Data cleaned by Emil and Christine	0
01318	Data cleaned by Emil and Christine	0
01341	Data cleaned by Emil and Christine	0
01667	Data cleaned by Emil and Christine	0
191083	Data cleaned by Emil and Christine	0
01358	Data cleaned by Emil and Christine	0
01623	Data cleaned by Emil and Christine	0
20680	Data cleaned by Emil and Christine	0
06084	Data cleaned by Emil and Christine	0
01591	Data cleaned by Emil and Christine	0
05218	Data cleaned by Emil and Christine	0
20010	Data cleaned by Emil and Christine	0
01476	Data cleaned by Emil and Christine	0
05065	Data cleaned by Emil and Christine	1
19711	Data cleaned by Emil and Christine	0
05193	Data cleaned by Emil and Christine	0
01357	Data cleaned by Emil and Christine	0
01558	Data cleaned by Emil and Christine	0
20393	Data cleaned by Emil and Christine	0
06147	Data cleaned by Emil and Christine	1
19430	Data cleaned by Emil and Christine	0
19450	Data cleaned by Emil and Christine	0
19305	Data cleaned by Emil and Christine	0
01535	Data cleaned by Emil and Christine	0
01495	Data cleaned by Emil and Christine	0
06137	Data cleaned by Emil and Christine	0
01632	Data cleaned by Emil and Christine	0
19731	Data cleaned by Emil and Christine	0
20643	Data cleaned by Emil and Christine	0
01467	Data cleaned by Emil and Christine	0
19407	Data cleaned by Emil and Christine	0
01481	Data cleaned by Emil and Christine	0
05130	Data cleaned by Emil and Christine	0
06130	Data cleaned by Emil and Christine	0
05243	Data cleaned by Emil and Christine	0
01506	Data cleaned by Emil and Christine	0
19796	Data cleaned by Emil and Christine	0
01375	Data cleaned by Emil and Christine	0
01360	Data cleaned by Emil and Christine	0
20122	Data cleaned by Emil and Christine	0
01255	Data cleaned by Emil and Christine	0
191014	Data cleaned by Emil and Christine	0
01470	Data cleaned by Emil and Christine	0
05283	Data cleaned by Emil and Christine	0
06040	Data cleaned by Emil and Christine	0
01631	Data cleaned by Emil and Christine	0
19311	Data cleaned by Emil and Christine	0
06061	Data cleaned by Emil and Christine	0
20503	Data cleaned by Emil and Christine	0
01320	Data cleaned by Emil and Christine	0
19466	Data cleaned by Emil and Christine	0
05235	Data cleaned by Emil and Christine	1
19788	Data cleaned by Emil and Christine	0
01344	Data cleaned by Emil and Christine	0
01524	Data cleaned by Emil and Christine	0
06100	Data cleaned by Emil and Christine	0
19415	Data cleaned by Emil and Christine	0
05257	Data cleaned by Emil and Christine	0
01331	Data cleaned by Emil and Christine	0
01334	Data cleaned by Emil and Christine	0
191077	Data cleaned by Emil and Christine	0
01249	Data cleaned by Emil and Christine	0
01477	Data cleaned by Emil and Christine	0
01281	Data cleaned by Emil and Christine	0
20845	Data cleaned by Emil and Christine	1
01468	Data cleaned by Emil and Christine	0
06172	Data cleaned by Emil and Christine	0
20575	Data cleaned by Emil and Christine	0
01490	Data cleaned by Emil and Christine	0
01626	Data cleaned by Emil and Christine	0
05273	Data cleaned by Emil and Christine	0
01608	Data cleaned by Emil and Christine	0
20013	Data cleaned by Emil and Christine	0
20378	Data cleaned by Emil and Christine	0
01374	Data cleaned by Emil and Christine	0
01611	Data cleaned by Emil and Christine	0
01619	Data cleaned by Emil and Christine	0
01340	Data cleaned by Emil and Christine	0
20190	Data cleaned by Emil and Christine	1
20059	Data cleaned by Emil and Christine	0
20669	Data cleaned by Emil and Christine	1
01675	Data cleaned by Emil and Christine	0
20477	Data cleaned by Emil and Christine	0
11050	Data cleaned by Emil and Christine	0
20527	Data cleaned by Emil and Christine	0
01361	Data cleaned by Emil and Christine	0
19033	Data cleaned by Emil and Christine	0
01482	Data cleaned by Emil and Christine	0
05226	Data cleaned by Emil and Christine	0
19794	Data cleaned by Emil and Christine	0
21156	Data cleaned by Emil and Christine	0
20004	Data cleaned by Emil and Christine	0
20750	Data cleaned by Emil and Christine	0
05207	Data cleaned by Emil and Christine	0
01525	Data cleaned by Emil and Christine	0
20641	Data cleaned by Emil and Christine	0
05256	Data cleaned by Emil and Christine	0
20184	Data cleaned by Emil and Christine	0
21086	Data cleaned by Emil and Christine	0
06047	Data cleaned by Emil and Christine	0
20729	Data cleaned by Emil and Christine	0
20353	Data cleaned by Emil and Christine	0
05080	Data cleaned by Emil and Christine	0
06173	Data cleaned by Emil and Christine	0
20652	Data cleaned by Emil and Christine	0
01339	Data cleaned by Emil and Christine	0
20182	Data cleaned by Emil and Christine	0
20308	Data cleaned by Emil and Christine	0
06178	Data cleaned by Emil and Christine	0
01625	Data cleaned by Emil and Christine	0
01251	Data cleaned by Emil and Christine	0
20811	Data cleaned by Emil and Christine	0
191079	Data cleaned by Emil and Christine	0
06035	Data cleaned by Emil and Christine	0
19483	Data cleaned by Emil and Christine	0
191092	Data cleaned by Emil and Christine	0
01616	Data cleaned by Emil and Christine	0
01649	Data cleaned by Emil and Christine	0
20866	Data cleaned by Emil and Christine	0
19459	Data cleaned by Emil and Christine	0
01428	Data cleaned by Emil and Christine	0
20237	Data cleaned by Emil and Christine	0
20153	Data cleaned by Emil and Christine	0
20295	Data cleaned by Emil and Christine	0
20074	Data cleaned by Emil and Christine	0
21158	Data cleaned by Emil and Christine	0
06166	Data cleaned by Emil and Christine	0
05224	Data cleaned by Emil and Christine	0
20740	Data cleaned by Emil and Christine	0
21102	Data cleaned by Emil and Christine	0
05083	Data cleaned by Emil and Christine	0
20323	Data cleaned by Emil and Christine	0
05152	Data cleaned by Emil and Christine	0
191270	Data cleaned by Emil and Christine	0
05092	Data cleaned by Emil and Christine	0
05004	Data cleaned by Emil and Christine	0
20439	Data cleaned by Emil and Christine	0
21167	Data cleaned by Emil and Christine	0
20539	Data cleaned by Emil and Christine	0
21186	Data cleaned by Emil and Christine	0
21147	Data cleaned by Emil and Christine	0
01460	Data cleaned by Emil and Christine	0
20185	Data cleaned by Emil and Christine	1
21188	Data cleaned by Emil and Christine	0
20198	Data cleaned by Emil and Christine	0
19097	Data cleaned by Emil and Christine	0
21109	Data cleaned by Emil and Christine	0
20719	Data cleaned by Emil and Christine	0
01286	Data cleaned by Emil and Christine	0
21025	Data cleaned by Emil and Christine	0
21090	Data cleaned by Emil and Christine	0
19110	Data cleaned by Emil and Christine	0
11032	Data cleaned by Emil and Christine	0
21117	Data cleaned by Emil and Christine	0
06121	Data cleaned by Emil and Christine	1
20850	Data cleaned by Emil and Christine	1
20715	Data cleaned by Emil and Christine	0
20449	Data cleaned by Emil and Christine	0
19024	Data cleaned by Emil and Christine	0
01689	Data cleaned by Emil and Christine	1
20765	Data cleaned by Emil and Christine	0
20807	Data cleaned by Emil and Christine	0
20755	Data cleaned by Emil and Christine	0
21089	Data cleaned by Emil and Christine	0
01240	Data cleaned by Emil and Christine	0
01231	Data cleaned by Emil and Christine	0
20440	Data cleaned by Emil and Christine	0
21097	Data cleaned by Emil and Christine	0
21085	Data cleaned by Emil and Christine	0
24043	Data cleaned by Emil and Christine	0
20062	Data cleaned by Emil and Christine	0
20793	Data cleaned by Emil and Christine	0
21104	Data cleaned by Emil and Christine	0
20233	Data cleaned by Emil and Christine	0
06143	Data cleaned by Emil and Christine	1
21160	Data cleaned by Emil and Christine	0
24020	Data cleaned by Emil and Christine	0
24021	Data cleaned by Emil and Christine	0
24042	Data cleaned by Emil and Christine	0
20868	Data cleaned by Emil and Christine	0
20874	Data cleaned by Emil and Christine	0
01589	Data cleaned by Emil and Christine	0
20835	Data cleaned by Emil and Christine	0
20486	Data cleaned by Emil and Christine	0
06181	Data cleaned by Emil and Christine	0
20063	Data cleaned by Emil and Christine	0
01562	Data cleaned by Emil and Christine	0
20499	Data cleaned by Emil and Christine	0
01567	Data cleaned by Emil and Christine	0
01289	Data cleaned by Emil and Christine	0
20426	Data cleaned by Emil and Christine	0
20612	Data cleaned by Emil and Christine	0
06141	Data cleaned by Emil and Christine	1
11025	Data cleaned by Emil and Christine	0
06058	Data cleaned by Emil and Christine	0
21116	Data cleaned by Emil and Christine	0
01588	Data cleaned by Emil and Christine	0
20749	Data cleaned by Emil and Christine	0
21070	Data cleaned by Emil and Christine	0
21170	Data cleaned by Emil and Christine	0
21043	Data cleaned by Emil and Christine	0
20065	Data cleaned by Emil and Christine	0
20097	Data cleaned by Emil and Christine	0
191032	Data cleaned by Emil and Christine	0
16006	Data cleaned by Emil and Christine	1
01292	Data cleaned by Emil and Christine	1
20460	Data cleaned by Emil and Christine	0
20301	Data cleaned by Emil and Christine	0
21112	Data cleaned by Emil and Christine	0
21053	Data cleaned by Emil and Christine	0
20783	Data cleaned by Emil and Christine	1
21027	Data cleaned by Emil and Christine	0
24040	Data cleaned by Emil and Christine	0
21159	Data cleaned by Emil and Christine	0
20188	Data cleaned by Emil and Christine	1
21124	Data cleaned by Emil and Christine	0
21179	Data cleaned by Emil and Christine	0
01556	Data cleaned by Emil and Christine	0
01583	Data cleaned by Emil and Christine	0
06095	Data cleaned by Emil and Christine	0
06096	Data cleaned by Emil and Christine	0
20468	Data cleaned by Emil and Christine	0
21002	Data cleaned by Emil and Christine	0
21119	Data cleaned by Emil and Christine	0
01548	Data cleaned by Emil and Christine	0
20861	Data cleaned by Emil and Christine	0
24018	Data cleaned by Emil and Christine	0
21022	Data cleaned by Emil and Christine	0
01466	Data cleaned by Emil and Christine	0
21052	Data cleaned by Emil and Christine	0
21059	Data cleaned by Emil and Christine	0
21128	Data cleaned by Emil and Christine	0
01464	Data cleaned by Emil and Christine	0
01474	Data cleaned by Emil and Christine	0
20297	Data cleaned by Emil and Christine	0
20820	Data cleaned by Emil and Christine	0
21099	Data cleaned by Emil and Christine	0
20814	Data cleaned by Emil and Christine	0
06151	Data cleaned by Emil and Christine	1
06116	Data cleaned by Emil and Christine	1
21131	Data cleaned by Emil and Christine	0
20773	Data cleaned by Emil and Christine	1
01290	Data cleaned by Emil and Christine	0
20786	Data cleaned by Emil and Christine	1
21037	Data cleaned by Emil and Christine	0
21148	Data cleaned by Emil and Christine	0
21078	Data cleaned by Emil and Christine	0
20565	Data cleaned by Emil and Christine	0
07044	Data cleaned by Emil and Christine	0
06120	Data cleaned by Emil and Christine	1
20665	Data cleaned by Emil and Christine	1
24026	Data cleaned by Emil and Christine	0
20039	Data cleaned by Emil and Christine	0
01577	Data cleaned by Emil and Christine	0
06048	Data cleaned by Emil and Christine	0
21071	Data cleaned by Emil and Christine	0
20769	Data cleaned by Emil and Christine	0
01288	Data cleaned by Emil and Christine	0
20744	Data cleaned by Emil and Christine	0
09117	Data cleaned by Emil and Christine	0
06188	Data cleaned by Emil and Christine	0
20549	Data cleaned by Emil and Christine	0
21133	Data cleaned by Emil and Christine	0
19456	Data cleaned by Emil and Christine	0
11006	Data cleaned by Emil and Christine	0
06093	Data cleaned by Emil and Christine	0
19992	Data cleaned by Emil and Christine	0
19759	Data cleaned by Emil and Christine	0
19053	Data cleaned by Emil and Christine	0
07023	Data cleaned by Emil and Christine	0
11001	Data cleaned by Emil and Christine	0
11020	Data cleaned by Emil and Christine	0
