id,title,amount_granted,amount_sought,init_year,period,gender,age,position,inst1_id,inst2_id,inst1_dirty,inst2_dirty,funder1_id,funder2_id,person_id,kw1,kw2,full_name,last_name,first_name,prob_inst_id,institution_name,funder_name,type,gender_new
50,the role of maternal low grade chronic inflammation in programming of offspring lifestyle diseases,620824,0,2012,0,0,-1,"",12,1,"aarhus sygehus, medicinsk forskningslaboratorim (nbg)",NULL,6,11,5112,"","",lund; sten,lund,sten,0,aarhus-univ-hosp,det frie forskningsråd,Projekt,1
51,heart rate variability (hrv) and near infrared spectroscopy (nirs) as a predictor or detector of epileptic-seizures and their relation to the meg estimated epileptic focus and pnes,2107996,0,2011,0,0,-1,"",12,1,"aarhus sygehus, neurofysiologisk afdeling",NULL,6,11,2306,"","",fuglsang-frederiksen; anders,fuglsang-frederiksen,anders,0,aarhus-univ-hosp,det frie forskningsråd,Projekt,1
52,diabetic hypertriglyceridemia: effects of pharmacological stimulation of hepatic fatty acid oxidation assessed by combined positron emission tomography and whole body [1-14c]vldl,1978011,0,2011,0,0,-1,"",12,1,"aarhus sygehus, pet-centret",NULL,6,11,2474,"","",gormsen; lars christian,gormsen,lars christian,0,aarhus-univ-hosp,det frie forskningsråd,Postdoc,1
53,parathyreoideahormons indflydelse på muskelvæv ? en sammenlignende analyse af muskelfunktionen hos patienter med hypoparathyreoidisme og hyperparathyreoidisme.,150000,0,2007,0,0,-1,"",12,1,aarhus universitets hospital,NULL,1,2,7094,"","",rejnmark; lars,rejnmark,lars,0,aarhus-univ-hosp,novo nordisk,Projekt,1
54,identifikation og karakterisering af cirkulerende exosomer i blærekræft- og tarmkræft med fokus på mrna og ikke-kodende rna,275000,0,2011,0,0,-1,"",12,1,aarhus universitets hospital skejby,NULL,1,2,6329,"","",ostenfeld; marie stampe,ostenfeld,marie stampe,0,aarhus-univ-hosp,novo nordisk,Projekt,0
55,prospective demonstration of the clinical benefit of monitoring circulating tumor dna following resection of colorectal cancer,1800000,0,2014,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,182,"","",andersen; claus lindbjerg,andersen,claus lindbjerg,0,aarhus-univ-hosp,novo nordisk,Projekt,1
56,development of personalized tumor biomarkers for disease monitoring using massive paralleled sequencing,2436168,0,2011,0,0,-1,"",12,1,aarhus universitetshospital,NULL,6,11,182,"","",andersen; claus lindbjerg,andersen,claus lindbjerg,0,aarhus-univ-hosp,det frie forskningsråd,Projekt,1
57,prognosis after ich.  effects of implementing systematic aggressive blood pressure lowering treatment algorithm,150000,0,2016,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,200,"","",andersen; grethe,andersen,grethe,0,aarhus-univ-hosp,novo nordisk,Skolarstipendier,0
58,circulating tumor dna as biomarkers in advanced bladder cancer,600000,0,2014,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,150,"","",andersen; lars dyrskjot,andersen,lars dyrskjot,0,aarhus-univ-hosp,novo nordisk,Projekt,1
59,radiobiologisk optimering af partikelterapi i hypoxiske tumorer,275000,0,2011,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,576,"","",bassler; niels,bassler,niels,0,aarhus-univ-hosp,novo nordisk,Projekt,1
60,translational research of vision threatening diseases in the retinal microcirculation,2072502,0,2011,0,0,-1,"",12,1,aarhus universitetshospital,NULL,6,11,629,"","",bek; toke,bek,toke,0,aarhus-univ-hosp,det frie forskningsråd,Projekt,1
61,udforskning af mekanismerne bag genetisk disposition til aterosklerose ved anvendelse af kimære apolipoprotein e knockout mus,393750,0,2007,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,688,"","",bentzon; jacob fog,bentzon,jacob fog,0,aarhus-univ-hosp,novo nordisk,Projekt,1
62,detection of infectious organisms in epithelial ovarian cancer tissue- is there a link between pelvic inflammation and ovarian cancer?,600000,0,2014,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,845,"","",blaakaer; jan,blaakaer,jan,0,aarhus-univ-hosp,novo nordisk,Projekt,1
63,cardioprotective effects of chronic nitrate treatment: influence on the effect of remote ischemic conditioning?,150000,0,2014,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,995,"","",botker; hans erik,botker,hans erik,0,aarhus-univ-hosp,novo nordisk,Skolarstipendier,1
64,remote protection against ischemia reperfusion injury in the heart (repair),3747348,0,2011,0,0,-1,"",12,1,aarhus universitetshospital,NULL,6,11,995,"","",botker; hans erik,botker,hans erik,0,aarhus-univ-hosp,det frie forskningsråd,Projekt,1
65,effect of paroxetine treatment on left ventricular remodeling in an in-vivo rat model of myocardial infarction,154650,0,2014,0,0,-1,"",12,1,aarhus universitetshospital,NULL,6,11,995,"","",botker; hans erik,botker,hans erik,0,aarhus-univ-hosp,det frie forskningsråd,Skolarstipendier,1
66,oxidative stress caused by electron leakage from mitochondrial fatty acid oxidation,150000,0,2008,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,1112,"","",bross; peter,bross,peter,0,aarhus-univ-hosp,novo nordisk,Projekt,1
67,genetic models of chronic neuronal degeneration causing hereditary spastic paraplegia: production and characterization of an animal model for hsp60 deficiency,180000,0,2005,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,1112,"","",bross; peter,bross,peter,0,aarhus-univ-hosp,novo nordisk,Projekt,1
68,soluble pd-1 and pd-l1 in patients with lymphoid malignancies,149495,0,2016,0,0,-1,"",12,1,aarhus universitetshospital,NULL,6,11,1629,"","",d'amore; francesco annibale,d'amore,francesco annibale,0,aarhus-univ-hosp,det frie forskningsråd,Skolarstipendier,1
69,"tranexamsyres effekt på peri- og postoperativt blodtab, transfusionsbehov og koagulation hos børn der gennemgår kraniofacial kirurgi.",300000,0,2014,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,1951,"","",eriksen; christian fenger,eriksen,christian fenger,0,aarhus-univ-hosp,novo nordisk,Projekt,1
70,"",2500000,0,2013,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,2522,"","",gravholt; claus hojbjerg,gravholt,claus hojbjerg,0,aarhus-univ-hosp,novo nordisk,Projekt,1
71,inflammatory liver diseases and the role of hepatic macrophages,600000,0,2014,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,2562,"","",gronbak; henning,gronbak,henning,0,aarhus-univ-hosp,novo nordisk,Projekt,1
72,makrofag aktivering anvendt diagnostisk og prognostisk ved non-alkoholisk fedtleversygdom og cirrose med portal hypertension.,400000,0,2011,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,2562,"","",gronbak; henning,gronbak,henning,0,aarhus-univ-hosp,novo nordisk,Projekt,1
73,"makrofagaktivering, bedømt ved makrofagmarkørerne scd163 og scd206, som tegn på tidlig leverskade ved paracetamol forgiftning",162382,0,2014,0,0,-1,"",12,1,aarhus universitetshospital,NULL,6,11,2562,"","",gronbak; henning,gronbak,henning,0,aarhus-univ-hosp,det frie forskningsråd,Skolarstipendier,1
74,komplementsystemets betydning for udvikling af vaskulære komplikationer ved diabetes,2500000,0,2013,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,2915,"","",hansen; troels krarup,hansen,troels krarup,0,aarhus-univ-hosp,novo nordisk,Projekt,1
75,immune profile and cardiovas cular risk in type 2 diabetes - det medfødte immunsystems betydning for kardiovaskulær sygdom ved type 2 diabetes,300000,0,2007,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,2915,"","",hansen; troels krarup,hansen,troels krarup,0,aarhus-univ-hosp,novo nordisk,Projekt,1
76,tidlig diagnostik af ledskade ved reumatoid artrit,5000000,0,2015,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,2981,"","",hauge; ellen-margrethe,hauge,ellen-margrethe,0,aarhus-univ-hosp,novo nordisk,Projekt,0
77,pregnancy outcome after prenatal exposure to antidepressants,300000,0,2014,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,3098,"","",henriksen; tine brink,henriksen,tine brink,0,aarhus-univ-hosp,novo nordisk,Projekt,0
